id_match,home_team,hometeam_name,home_score,away_team,awayteam_name,away_score,round,played,qualified
"M015-GW5","Soltero11","Hajjaj Belhaj","","Hytaaam","Hytaaam","","GW5",0,""
"M015-GW6","SAMLALI ","Fcb","","Amine11","Hdhauisiks","","GW6",0,""
"M015-GW7","AyoubVe","Fc barcelona","","Moncef ","HARAMBALL","","GW7",0,""
"M015-GW8","KAIDO MORRI","F PES ANA SULTAN","","Soltero11","Hajjaj Belhaj","","GW8",0,""
"M016-GW1","brennmytt ","IMRAN","","IPL SBOBO","IPL SBOBO","","GW1",0,""
"M016-GW2","Fc ilvess","Ilvess","","brennmytt ","IMRAN","","GW2",0,""
"M016-GW3","Hytaaam","Hytaaam","","Fc ilvess","Ilvess","","GW3",0,""
"M016-GW4","Amine11","Hdhauisiks","","Hytaaam","Hytaaam","","GW4",0,""
"M016-GW5","Moncef ","HARAMBALL","","Amine11","Hdhauisiks","","GW5",0,""
"M016-GW6","Soltero11","Hajjaj Belhaj","","Moncef ","HARAMBALL","","GW6",0,""
"M016-GW7","SAMLALI ","Fcb","","Soltero11","Hajjaj Belhaj","","GW7",0,""
"M016-GW8","AyoubVe","Fc barcelona","","SAMLALI ","Fcb","","GW8",0,""
